highway,km,buraco,remendo,trinca,placa,drenagem
116,562.0,0,24,152,32,88
116,563.0,0,174,1696,688,1028
116,564.0,0,918,2592,270,1566
116,565.0,0,1134,2646,540,2052
116,566.0,0,648,2538,486,810
116,567.0,0,702,2646,108,1566
116,568.0,0,1350,2646,324,1026
116,569.0,0,1620,2646,108,1134
116,570.0,0,1134,2646,162,702
116,571.0,0,216,2646,324,1620
116,572.0,0,216,2592,756,1512
116,573.0,0,1404,2700,378,1080
116,574.0,0,1890,2646,486,1998
116,575.0,0,1134,2646,54,1512
116,576.0,0,864,2646,486,1620
116,577.0,0,486,2592,864,1890
116,578.0,0,486,2646,486,1512
116,579.0,0,216,2646,270,1404
116,580.0,0,432,2646,108,1458
116,581.0,0,918,2700,324,1404
116,582.0,0,1998,2646,1188,1296
116,583.0,0,2052,2700,648,1512
116,584.0,0,3942,2646,162,1782
116,585.0,0,2268,2592,810,1998
116,586.0,0,1080,2592,810,972
116,587.0,0,972,2646,1080,1458
116,588.0,0,2592,2646,216,1026
116,589.0,0,2160,2538,432,1512
116,590.0,0,482,2256,576,348
116,591.0,0,960,1920,360,880
116,592.0,0,2400,1880,240,480
116,593.0,0,1200,1920,280,1320
116,594.0,0,280,1920,200,600
116,595.0,0,1320,1880,280,560
116,596.0,0,680,1920,1000,1120
116,597.0,0,400,1880,640,760
116,598.0,0,1160,1880,600,1320
116,599.0,0,1600,1880,80,1440
116,600.0,0,3880,1920,0,1440
116,601.0,0,5680,1880,40,1480
116,602.0,0,2680,1880,120,1400
116,603.0,0,4040,1880,160,1160
116,604.0,0,4080,1920,80,1440
116,605.0,0,6120,1880,0,1480
116,606.0,0,2440,1920,0,960
116,607.0,0,1240,1960,120,1120
116,608.0,0,2000,1920,240,920
116,609.0,0,196,316,58,218
